type,workspace,send_date,campaign_or_step,sends,opens,open_rate,clicks,click_rate,ctor,orders_xbrand,revenue_xbrand,rev_per_1k
blast,ID,2026-03-12,P_EM_2026_03_13_TRADE_TI_SF_D_PR_Spring_Sale,20462,8950,0.4374,116,0.0057,0.0130,0,0.00,0.00
blast,ID,2026-03-18,P_EM_2026_03_18_TRADE_ID_D_PR_Accent_Seating,20477,8954,0.4373,122,0.0060,0.0136,0,0.00,0.00
blast,ID,2026-03-19,P_EM_2026_03_20_TRADE_All_D_PR_Spring_Sale,20490,9051,0.4417,84,0.0041,0.0093,1,3974.21,193.96
blast,ID,2026-03-24,P_EM_2026_03_24_TRADE_All_D_PR_Spring_Sale,20493,8942,0.4363,130,0.0063,0.0145,2,6057.80,295.60
blast,ID,2026-03-26,P_EM_2026_03_27_TRADE_All_D_PR_Spring_Sale_Last_Chance,20537,9018,0.4391,105,0.0051,0.0116,0,0.00,0.00
blast,ID,2026-03-29,P_EM_2026_03_30_TRADE_CZ_D_PR_Bedding,20530,9021,0.4394,81,0.0039,0.0090,0,0.00,0.00
blast,ID,2026-03-31,P_EM_2026_04_01_ID_TRADE_PT_Offer_Boost,20541,9643,0.4695,311,0.0151,0.0323,1,5652.67,275.19
blast,ID,2026-04-02,P_EM_2026_04_03_TRADE_All_D_PR_Perks_Reminder,20565,9286,0.4515,174,0.0085,0.0187,4,8623.00,419.30
blast,ID,2026-04-05,P_EM_2026_04_06_ID_TRADE_PT_Lapsed_Re_Activation_Version_B_Treatment,1430,656,0.4587,28,0.0196,0.0427,1,2049.61,1433.29
blast,ID,2026-04-06,P_EM_2026_04_06_ID_TRADE_PT_Cross_Brand_Version_B_Treatment,1293,699,0.5406,34,0.0263,0.0486,1,3181.34,2460.43
blast,ID,2026-04-06,P_EM_2026_04_06_ID_TRADE_PT_Cross_Brand_Version_A_Control,1310,681,0.5198,24,0.0183,0.0352,0,0.00,0.00
blast,ID,2026-04-06,P_EM_2026_04_06_ID_TRADE_PT_Lapsed_Re_Activation_Version_A_Control,1495,694,0.4642,21,0.0140,0.0303,0,0.00,0.00
blast,ID,2026-04-15,P_EM_2026_04_16_TRADE_SF_D_PR_New_Prints,20679,9144,0.4422,85,0.0041,0.0093,1,0.00,0.00
